fishID,fishName,fishID,experiment,prePost,half,largeMalePosition,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1
fid29,alice,fid29,mc,pre,p3,left,38,4.6855,112.1345,38.492,18.0195,18.553,15.6145,206.1875,23.8095,15.2825,4.6855,112.1345,38.492
fid3,diana,fid3,mc,post,p1,none,7,0,38.368,0,33.005,0,0,0,251.887,13.61,300,38.368,300
fid3,diana,fid3,mc,pre,p1,none,9,4.7,70.169,0,3.171,0,0,60.322,228.277,7.667,4.7,70.169,300
fid3,diana,fid3,mc,post,p2,left,1,0,1.049,0,0,0,0,0,298.188,0,300,1.049,300
fid3,diana,fid3,mc,pre,p2,right,26,124.656,0.023,48.889,12.816,6.677,22.685,17.113,194.707,43.75,124.656,0.023,48.889
fid3,diana,fid3,mc,post,p3,right,5,0,0.517,0,0,0,0,0,296.279,3.204,300,0.517,300
fid3,diana,fid3,mc,pre,p3,left,1,0,0.261,0,0,0,0,0,299.65,0,300,0.261,300
fid30,dawn,fid30,mc,post,p1,none,93,22.763,15.8555,3.12,9.644,166.102,44.951,13.5785,36.2865,26.2605,22.763,15.8555,3.12
fid30,dawn,fid30,mc,pre,p1,none,68.5,44.159,1.5495,84.1155,20.8995,41.7025,27.6975,55.322,123.8305,30.359,44.159,1.5495,84.1155
fid30,dawn,fid30,mc,post,p2,left,63,21.851,14.6755,1.5475,9.345,45.674,39.3635,25.4905,139.064,22.296,21.851,14.6755,1.5475
fid30,dawn,fid30,mc,pre,p2,right,127,7.3215,11.1075,0.853,34.485,43.8195,59.6275,25.135,77.5175,58.223,7.3215,11.1075,0.853
fid30,dawn,fid30,mc,post,p3,right,9,0,0.451,0,0,0,0,0,295.8445,3.7555,300,0.451,300
fid30,dawn,fid30,mc,pre,p3,left,136.5,14.3595,0.5545,8.622,31.1025,63.579,58.088,19.0905,75.7925,50.275,14.3595,0.5545,8.622
fid31,bailey,fid31,mc,post,p1,none,41,10.726,1.793,33.975,17.1975,49.5155,36.1795,68.067,81.9405,48.536,10.726,1.793,33.975
fid31,bailey,fid31,mc,pre,p1,none,63.5,0.6735,70.065,52.7085,31.354,78.099,39.5015,55.888,50.418,42.961,0.6735,70.065,52.7085
fid31,bailey,fid31,mc,post,p2,right,37.5,0,2.904,195.5955,24.574,19.7875,24.1575,0,186.171,45.0175,300,2.904,195.5955
fid31,bailey,fid31,mc,pre,p2,left,30,36.288,76.6535,0.5425,6.7405,211.832,45.713,0.401,21.687,11.4125,192,76.6535,0.5425
fid31,bailey,fid31,mc,post,p3,left,18.5,103.7615,2.7695,201.7235,7.0745,2.8015,5.874,0.2665,269.193,9.679,253.7945,2.7695,201.7235
fid31,bailey,fid31,mc,pre,p3,right,54.5,4.6945,14.349,1.3595,46.1155,42.81,60.991,6.6065,89.4065,51.447,4.6945,14.349,1.3595
fid32,claire,fid32,mc,post,p1,none,30,3.423,29.586,47.669,14.69,33.9,21.352,14.946,194.857,17.616,3.423,29.586,47.669
fid32,claire,fid32,mc,pre,p1,none,28,4.02,139.828,193.681,28.83,70.8345,40.9125,95.594,36.169,22.542,4.02,139.828,193.681
fid32,claire,fid32,mc,post,p2,left,5,0,0.237,0,0,0,0,0,293.452,4.267,300,0.237,300
fid32,claire,fid32,mc,pre,p2,right,5,0,0,1.009,4.0555,287.137,7.695,0,0,0,300,300,1.009
fid32,claire,fid32,mc,post,p3,right,1,0,0.195,0,0,0,0,0,299.805,0,300,0.195,300
fid32,claire,fid32,mc,pre,p3,left,3,0,0,0.699,0,291.35,6.673,0,0,0,300,300,0.699
fid33,barbara,fid33,mc,post,p1,none,23,0,15.301,4.888,8.009,252.005,16.013,0,16.419,6.668,300,15.301,4.888
fid33,barbara,fid33,mc,post,p2,right,15,0,264.016,0.078,2.569,275.916,12.543,0,4.671,3.736,300,264.016,0.078
fid33,barbara,fid33,mc,post,p3,left,13,0,0,0.086,5.61,280.363,9.948,0,0,3.736,300,300,0.086
fid34,charlotte,fid34,mc,post,p1,none,78,17.118,24.489,12.376,40.563,73.407,42.981,33.746,72.074,36.642,17.118,24.489,12.376
fid34,charlotte,fid34,mc,pre,p1,none,39.5,3.601,9.275,26.714,15.2175,15.891,10.143,12.142,216.946,28.102,3.601,9.275,26.714
fid34,INT.csv,fid34,mc,post,p2,charlotte,47,0.893,12.972,2.029,10.751,6.676,12.378,5.868,235.094,28.594,0.893,12.972,2.029
fid34,charlotte,fid34,mc,post,p2,left,26,0.16,13.091,2.4125,7.5915,6.4045,10.8095,8.811,251.754,13.996,0.16,13.091,2.4125
fid34,charlotte,fid34,mc,pre,p2,right,70.5,159.597,1.477,162.839,19.781,18.9495,24.372,18.569,175.122,41.6455,159.597,1.477,162.839
fid34,charlotte,fid34,mc,post,p3,right,7,0,0.222,0,0,0,0,0,292.044,7.876,300,0.222,300
fid34,charlotte,fid34,mc,pre,p3,left,44,51.992,1.174,56.9745,21.7565,11.2085,22.761,3.068,194.904,46.159,52.673,1.174,56.9745
fid35,beatrice,fid35,mc,post,p1,none,22,0.65,65.781,0,7.207,0,14.143,27.321,225.945,24.121,0.65,65.781,300
fid35,beatrice,fid35,mc,post,p2,right,18,94.649,0.788,116.775,30.395,128.623,16.891,24.719,85.671,13.948,94.649,0.788,116.775
fid35,beatrice,fid35,mc,post,p3,left,33,0,18.664,0.099,26.664,171.78,38.435,0,31.126,30.4,300,18.664,0.099
fid36,bethany,fid36,mc,post,p1,none,39,1.397,6.855,34.828,22.56,9.344,19.884,2.1,210.189,34.962,2.594,6.855,34.828
fid36,bethany,fid36,mc,pre,p1,none,75.5,2.1715,32.468,47.891,32.8755,57.378,54.689,20.4195,83.6515,46.0755,2.1715,32.468,47.891
fid36,bethany,fid36,mc,post,p2,left,19,0,0.264,134.198,16.081,159.955,19.521,0,83.816,17.18,300,0.264,134.198
fid36,bethany,fid36,mc,pre,p2,right,49.5,207.0565,1.8305,212.664,25.181,2.4185,23.885,22.6755,181.971,36.974,207.0565,1.8305,212.664
fid36,bethany,fid36,mc,post,p3,right,68,0.242,4.525,88.863,52.606,17.649,30.702,60.413,72.344,63.138,0.242,4.525,88.863
fid36,bethany,fid36,mc,pre,p3,left,81,102.985,46.679,76.693,35.605,64.9505,58.9005,13.7465,68.7335,56.2005,102.985,46.679,76.693
fid37,bianca,fid37,mc,post,p1,none,15,0.784,47.867,33.186,2.405,228.655,15.479,15.221,4.541,20.925,0.784,47.867,33.186
fid37,bianca,fid37,mc,pre,p1,none,22,23.2455,15.6375,1.177,7.2495,229.0315,14.828,35.393,5.2715,7.339,23.2455,15.6375,1.177
fid37,bianca,fid37,mc,post,p2,right,11,0,152.195,0.242,6.13,143.687,9.842,0,128.566,11.108,300,152.195,0.242
fid37,bianca,fid37,mc,pre,p2,left,39.5,15.754,3.119,35.1505,8.063,166.607,20.621,0.6675,88.6245,13.4525,186.0745,3.119,35.1505
fid37,bianca,fid37,mc,post,p3,left,1,0,0.023,0,0,0,0,0,299.855,0,300,0.023,300
fid37,bianca,fid37,mc,pre,p3,right,44.5,104.1635,0.956,37.3075,17.8925,55.6045,30.892,1.6005,155.7485,35.629,104.1635,0.956,37.3075
fid38,audrey,fid38,mc,post,p1,none,34,0.788,28.853,10.934,11.121,44.048,24.862,19.485,183.173,14.274,0.788,28.853,10.934
fid38,audrey,fid38,mc,pre,p1,none,13,60.135,2.461,93.2515,1.065,203.2895,4.6695,30.6485,54.793,3.164,60.135,2.461,93.2515
fid38,audrey,fid38,mc,post,p2,left,1,0,0.058,0,0,0,0,0,299.66,0,300,0.058,300
fid38,audrey,fid38,mc,pre,p2,right,27,5.8855,9.8045,1.131,4.2765,5.2035,6.409,33.097,241.2795,9.875,5.8855,9.8045,1.131
