filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,center,left screen,left side,plant,right screen,right side
mc_pre_fid17_p3_VASQUEZ_largeMale_left_amanda_INT.csv,29,VASQUEZ,p3,mc,fid17,left,pre,22.68799999999998,22.122999999999998,37.23800000000001,5.070999999999998,188.35699999999997,24.56000000000001
mc_pre_fid17_p3_Waindim_largeMale_left_amanda_INT.csv,27,Waindim,p3,mc,fid17,left,pre,27.76799999999998,22.418000000000003,36.073,2.1330000000000027,188.332,22.95500000000001
mc_pre_fid18_p1_NGUYEN_largeMale_none_anna_LL.csv,63,NGUYEN,p1,mc,fid18,none,pre,9.254000000000019,64.15599999999998,34.072000000000024,0,160.319,30.929000000000016
mc_pre_fid18_p1_PATIL_largeMale_none_anna_LL.csv,59,PATIL,p1,mc,fid18,none,pre,10.144999999999975,66.36699999999999,33.16000000000002,0,163.98400000000004,26.430999999999976
mc_pre_fid18_p1_PHILLIPS_largeMale_none_anna_LL.csv,55,PHILLIPS,p1,mc,fid18,none,pre,9.346000000000004,66.72400000000005,32.47399999999993,0,163.52399999999997,27.566000000000024
mc_pre_fid18_p1_RAVIPATI_largeMale_none_anna_LL.csv,53,RAVIPATI,p1,mc,fid18,none,pre,8.94300000000004,69.56599999999995,29.96600000000003,1.0670000000000002,160.831,26.215000000000003
mc_pre_fid18_p2_NGUYEN_largeMale_left_anna_LL.csv,78,NGUYEN,p2,mc,fid18,left,pre,21.940000000000026,47.06500000000004,23.327999999999946,0,176.39299999999997,29.119000000000042
mc_pre_fid18_p2_PATIL_largeMale_left_anna_LL.csv,85,PATIL,p2,mc,fid18,left,pre,13.53399999999995,49.97500000000002,22.293999999999983,5.877000000000038,175.50000000000006,32.79699999999996
mc_pre_fid18_p2_PHILLIPS_largeMale_left_anna_LL.csv,78,PHILLIPS,p2,mc,fid18,left,pre,18.341999999999942,48.950000000000074,22.32099999999994,0,182.70799999999997,27.169000000000064
mc_pre_fid18_p2_RAVIPATI_largeMale_left_anna_LL.csv,76,RAVIPATI,p2,mc,fid18,left,pre,16.727000000000004,51.27999999999996,20.18500000000003,1.6059999999999945,179.26799999999997,29.296000000000035
mc_pre_fid18_p3_NGUYEN_largeMale_right_anna_LL.csv,100,NGUYEN,p3,mc,fid18,right,pre,31.535,58.47800000000001,43.010000000000005,0,130.02299999999994,51.95300000000002
mc_pre_fid18_p3_PATIL_largeMale_right_anna_LL.csv,89,PATIL,p3,mc,fid18,right,pre,24.71899999999999,59.814000000000014,39.717000000000034,0.5379999999999998,128.16100000000003,47.10499999999994
mc_pre_fid18_p3_PHILLIPS_largeMale_right_anna_LL.csv,91,PHILLIPS,p3,mc,fid18,right,pre,24.831999999999997,61.827,37.532,0,129.02999999999997,45.90000000000007
mc_pre_fid18_p3_RAVIPATI_largeMale_right_anna_LL.csv,79,RAVIPATI,p3,mc,fid18,right,pre,26.15599999999997,59.76200000000002,38.16999999999999,0,132.22100000000003,42.686999999999976
mc_pre_fid19_p1_NGUYEN_largeMale_none_allison_FF.csv,84,NGUYEN,p1,mc,fid19,none,pre,45.574999999999974,36.298,68.27700000000003,53.09000000000003,28.498999999999995,66.50999999999999
mc_pre_fid19_p1_PATIL_largeMale_none_allison_FF.csv,81,PATIL,p1,mc,fid19,none,pre,32.16899999999993,35.89499999999994,68.438,64.19900000000007,28.13100000000003,71.14500000000004
mc_pre_fid19_p1_PHILLIPS_largeMale_none_allison_FF.csv,92,PHILLIPS,p1,mc,fid19,none,pre,43.99200000000003,38.70699999999999,57.56399999999998,57.86199999999998,30.898999999999987,66.85300000000007
mc_pre_fid19_p1_RAVIPATI_largeMale_none_allison_FF.csv,71,RAVIPATI,p1,mc,fid19,none,pre,30.816000000000074,38.59699999999996,64.32999999999997,62.66699999999999,29.62299999999999,70.03
mc_pre_fid19_p2_NGUYEN_largeMale_right_allison_FF.csv,104,NGUYEN,p2,mc,fid19,right,pre,28.99499999999997,53.00700000000003,64.09199999999997,52.00400000000001,53.49599999999999,48.00600000000005
mc_pre_fid19_p2_PATIL_largeMale_right_allison_FF.csv,97,PATIL,p2,mc,fid19,right,pre,25.538999999999962,57.28200000000003,59.54100000000003,54.156999999999954,52.457,51.11100000000003
mc_pre_fid19_p2_PHILLIPS_largeMale_right_allison_FF.csv,110,PHILLIPS,p2,mc,fid19,right,pre,36.7079999999999,56.31200000000001,57.350000000000016,43.67100000000002,54.350999999999985,46.96600000000004
mc_pre_fid19_p2_RAVIPATI_largeMale_right_allison_FF.csv,86,RAVIPATI,p2,mc,fid19,right,pre,19.480999999999995,59.39599999999999,59.787999999999975,55.57700000000004,54.05699999999999,50.01200000000003
