experiment,fishID,half,code,prePost,largeMalePosition,fishName,treatment,totalTime,number_transits
mc,fid15,p2,left side,post,left,chloe,INT.csv,18.426000000000002,65
mc,fid15,p2,left side,pre,right,chloe,INT.csv,5.883499999999998,29
mc,fid15,p2,plant,post,left,chloe,INT.csv,2.4030000000000022,65
mc,fid15,p2,plant,pre,right,chloe,INT.csv,3.6059999999999945,30
mc,fid15,p2,right screen,post,left,chloe,INT.csv,189.93800000000005,65
mc,fid15,p2,right screen,pre,right,chloe,INT.csv,261.9995,29
mc,fid15,p2,right side,post,left,chloe,INT.csv,31.971999999999934,65
mc,fid15,p2,right side,pre,right,chloe,INT.csv,15.888500000000002,29
mc,fid15,p3,center,pre,left,chloe,INT.csv,4.270499999999998,20.5
mc,fid15,p3,left screen,pre,left,chloe,INT.csv,2.136000000000003,20.5
mc,fid15,p3,left side,pre,left,chloe,INT.csv,6.540000000000003,20.5
mc,fid15,p3,right screen,post,right,chloe,INT.csv,284.5439999999999,25
mc,fid15,p3,right screen,pre,left,chloe,INT.csv,268.8485,20.5
mc,fid15,p3,right side,post,right,chloe,INT.csv,14.94700000000004,32
mc,fid15,p3,right side,pre,left,chloe,INT.csv,14.112499999999974,20.5
mc,fid16,p1,center,post,none,carla,LL.csv,18.250000000000064,46
mc,fid16,p1,center,pre,none,carla,LL.csv,21.244500000000027,79.5
mc,fid16,p1,left screen,post,none,carla,LL.csv,8.012000000000008,46
mc,fid16,p1,left screen,pre,none,carla,LL.csv,41.927499999999974,79.5
mc,fid16,p1,left side,post,none,carla,LL.csv,27.49499999999998,46
mc,fid16,p1,left side,pre,none,carla,LL.csv,50.05200000000001,79.5
mc,fid16,p1,plant,post,none,carla,LL.csv,69.038,46
mc,fid16,p1,plant,pre,none,carla,LL.csv,20.423999999999985,79.5
mc,fid16,p1,right screen,post,none,carla,LL.csv,131.89600000000002,46
mc,fid16,p1,right screen,pre,none,carla,LL.csv,89.24349999999998,79.5
mc,fid16,p1,right side,post,none,carla,LL.csv,45.377999999999986,46
mc,fid16,p1,right side,pre,none,carla,LL.csv,73.96249999999999,79.5
mc,fid16,p2,center,post,left,carla,LL.csv,27.190999999999967,53
mc,fid16,p2,center,pre,right,carla,LL.csv,7.343999999999999,26
mc,fid16,p2,left screen,post,left,carla,LL.csv,87.9499999999999,53
mc,fid16,p2,left screen,pre,right,carla,LL.csv,14.417000000000002,26
mc,fid16,p2,left side,post,left,carla,LL.csv,63.53400000000006,53
mc,fid16,p2,left side,pre,right,carla,LL.csv,18.951999999999998,26
mc,fid16,p2,plant,post,left,carla,LL.csv,25.35899999999998,53
mc,fid16,p2,right screen,post,left,carla,LL.csv,57.658,53
mc,fid16,p2,right screen,pre,right,carla,LL.csv,232.442,26
mc,fid16,p2,right side,post,left,carla,LL.csv,36.56699999999995,53
mc,fid16,p2,right side,pre,right,carla,LL.csv,24.7055,26
mc,fid16,p3,center,post,right,carla,LL.csv,9.841999999999999,35
mc,fid16,p3,center,pre,left,carla,LL.csv,18.665500000000016,43
mc,fid16,p3,left screen,post,right,carla,LL.csv,235.394,35
mc,fid16,p3,left screen,pre,left,carla,LL.csv,14.81499999999997,43
mc,fid16,p3,left side,post,right,carla,LL.csv,53.649,35
mc,fid16,p3,left side,pre,left,carla,LL.csv,17.25649999999999,43
mc,fid16,p3,plant,pre,left,carla,LL.csv,6.767000000000005,43
mc,fid16,p3,right screen,pre,left,carla,LL.csv,202.57249999999996,43
mc,fid16,p3,right side,pre,left,carla,LL.csv,36.462000000000046,43
mc,fid17,p1,center,post,none,amanda,INT.csv,30.87000000000002,41
mc,fid17,p1,center,pre,none,amanda,INT.csv,18.416999999999984,48.5
mc,fid17,p1,left screen,post,none,amanda,INT.csv,79.81700000000004,41
mc,fid17,p1,left screen,pre,none,amanda,INT.csv,69.13599999999997,48.5
mc,fid17,p1,left side,post,none,amanda,INT.csv,34.17399999999999,41
mc,fid17,p1,left side,pre,none,amanda,INT.csv,34.96900000000004,48.5
mc,fid17,p1,plant,post,none,amanda,INT.csv,4.803000000000006,41
mc,fid17,p1,plant,pre,none,amanda,INT.csv,3.068999999999992,45.5
mc,fid17,p1,right screen,post,none,amanda,INT.csv,106.73499999999994,41
mc,fid17,p1,right screen,pre,none,amanda,INT.csv,129.1295,48.5
mc,fid17,p1,right side,post,none,amanda,INT.csv,45.65600000000008,41
mc,fid17,p1,right side,pre,none,amanda,INT.csv,47.179,48.5
mc,fid17,p2,center,pre,right,amanda,INT.csv,4.3999999999999995,18
mc,fid17,p2,left screen,pre,right,amanda,INT.csv,240.93550000000005,18
mc,fid17,p2,left side,pre,right,amanda,INT.csv,39.90649999999997,18
mc,fid17,p2,right screen,post,right,amanda,INT.csv,286.394,9
mc,fid17,p2,right screen,pre,right,amanda,INT.csv,6.539000000000001,18
mc,fid17,p2,right side,post,right,amanda,INT.csv,11.208000000000027,9
mc,fid17,p2,right side,pre,right,amanda,INT.csv,4.942500000000001,18
mc,fid17,p3,center,pre,left,amanda,INT.csv,25.041000000000004,30
mc,fid17,p3,left screen,pre,left,amanda,INT.csv,21.872500000000002,30
mc,fid17,p3,left side,pre,left,amanda,INT.csv,36.6545,30
mc,fid17,p3,plant,pre,left,amanda,INT.csv,3.4060000000000024,30
mc,fid17,p3,right screen,post,left,amanda,INT.csv,288.7855,11
mc,fid17,p3,right screen,pre,left,amanda,INT.csv,188.3015,30
mc,fid17,p3,right side,post,left,amanda,INT.csv,10.809499999999968,11
mc,fid17,p3,right side,pre,left,amanda,INT.csv,23.086000000000013,30
mc,fid18,p1,center,post,none,anna,LL.csv,9.946500000000023,40.5
mc,fid18,p1,center,pre,none,anna,LL.csv,9.300000000000011,57
mc,fid18,p1,left screen,post,none,anna,LL.csv,13.513000000000003,40.5
mc,fid18,p1,left screen,pre,none,anna,LL.csv,66.54550000000002,57
mc,fid18,p1,left side,post,none,anna,LL.csv,22.703500000000012,40.5
mc,fid18,p1,left side,pre,none,anna,LL.csv,32.81699999999998,57
mc,fid18,p1,plant,post,none,anna,LL.csv,6.0764999999999905,40.5
mc,fid18,p1,plant,pre,none,anna,LL.csv,1.0670000000000002,53
mc,fid18,p1,right screen,post,none,anna,LL.csv,222.84050000000002,40.5
mc,fid18,p1,right screen,pre,none,anna,LL.csv,162.06699999999998,57
mc,fid18,p1,right side,post,none,anna,LL.csv,23.5215,40.5
mc,fid18,p1,right side,pre,none,anna,LL.csv,26.9985,57
mc,fid18,p2,center,post,right,anna,LL.csv,1.3330000000000126,20.5
mc,fid18,p2,center,pre,left,anna,LL.csv,17.534499999999973,78
mc,fid18,p2,left screen,post,right,anna,LL.csv,9.341499999999982,20.5
mc,fid18,p2,left screen,pre,left,anna,LL.csv,49.46250000000005,78
mc,fid18,p2,left side,post,right,anna,LL.csv,4.173000000000016,20.5
mc,fid18,p2,left side,pre,left,anna,LL.csv,22.307499999999962,78
mc,fid18,p2,plant,post,right,anna,LL.csv,2.269999999999996,20.5
mc,fid18,p2,plant,pre,left,anna,LL.csv,3.7415000000000163,80.5
mc,fid18,p2,right screen,post,right,anna,LL.csv,269.9945,20.5
mc,fid18,p2,right screen,pre,left,anna,LL.csv,177.83049999999997,78
mc,fid18,p2,right side,post,right,anna,LL.csv,11.98350000000001,20.5
mc,fid18,p2,right side,pre,left,anna,LL.csv,29.20750000000004,78
mc,fid18,p3,center,post,left,anna,LL.csv,7.873499999999986,40
mc,fid18,p3,center,pre,right,anna,LL.csv,25.493999999999986,90
mc,fid18,p3,left screen,post,left,anna,LL.csv,16.012,40
