filename,number_transits,code,totalTime,experiment,fishID,fishName,treatment,half,scorer,largeMalePosition,prePost
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,plant,0.5319999999999823,mc,fid10,alyssa,INT.csv,p2,BAO,right,post
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,right screen,271.74000000000007,mc,fid10,alyssa,INT.csv,p2,BAO,right,post
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,right side,19.956999999999933,mc,fid10,alyssa,INT.csv,p2,BAO,right,post
mc_post_fid10_p2_cornish_largeMale_right_alyssa_INT.csv,7,left screen,3.052000000000021,mc,fid10,alyssa,INT.csv,p2,cornish,right,post
mc_post_fid10_p2_cornish_largeMale_right_alyssa_INT.csv,7,left side,0.6200000000000045,mc,fid10,alyssa,INT.csv,p2,cornish,right,post
mc_post_fid10_p2_cornish_largeMale_right_alyssa_INT.csv,7,plant,1.8269999999999982,mc,fid10,alyssa,INT.csv,p2,cornish,right,post
mc_post_fid10_p2_cornish_largeMale_right_alyssa_INT.csv,7,right screen,286.098,mc,fid10,alyssa,INT.csv,p2,cornish,right,post
mc_post_fid10_p2_cornish_largeMale_right_alyssa_INT.csv,7,right side,7.066999999999972,mc,fid10,alyssa,INT.csv,p2,cornish,right,post
mc_post_fid10_p2_CUI_largeMale_right_alyssa_INT.csv,7,left screen,3.252999999999986,mc,fid10,alyssa,INT.csv,p2,CUI,right,post
mc_post_fid10_p2_CUI_largeMale_right_alyssa_INT.csv,7,left side,1.3380000000000223,mc,fid10,alyssa,INT.csv,p2,CUI,right,post
mc_post_fid10_p2_CUI_largeMale_right_alyssa_INT.csv,7,plant,1.33299999999997,mc,fid10,alyssa,INT.csv,p2,CUI,right,post
mc_post_fid10_p2_CUI_largeMale_right_alyssa_INT.csv,7,right screen,280.91499999999996,mc,fid10,alyssa,INT.csv,p2,CUI,right,post
